2024-07-14 02:42:49 | | READY_FOR_LIFTOFF | Lat,Long=-31.98822,115.81029 | B_Alt=-0.14 | B_Pres=1014.29 | B_Temp=21.80 | A_Vel=0.00 | B_Vel=1.31 | F_Vel=0.00 | Cont_A,M=0,0 | accel=762,614,-1002 |
2024-07-14 02:42:50 | | READY_FOR_LIFTOFF | Lat,Long=-31.98822,115.81029 | B_Alt=0.38 | B_Pres=1014.33 | B_Temp=21.80 | A_Vel=0.00 | B_Vel=-1.07 | F_Vel=0.00 | Cont_A,M=0,0 | accel=766,619,-1006 |
2024-07-14 02:42:51 | | READY_FOR_LIFTOFF | Lat,Long=-31.98822,115.81029 | B_Alt=-0.27 | B_Pres=1014.34 | B_Temp=21.82 | A_Vel=0.00 | B_Vel=-1.07 | F_Vel=0.00 | Cont_A,M=0,0 | accel=766,622,-1005 |
2024-07-14 02:42:52 | | READY_FOR_LIFTOFF | Lat,Long=-31.98822,115.81029 | B_Alt=-0.07 | B_Pres=1014.32 | B_Temp=21.82 | A_Vel=0.00 | B_Vel=-0.32 | F_Vel=0.00 | Cont_A,M=0,0 | accel=772,615,-1001 |
2024-07-14 02:42:53 | | READY_FOR_LIFTOFF | Lat,Long=-31.98822,115.81029 | B_Alt=-0.36 | B_Pres=1014.35 | B_Temp=21.78 | A_Vel=0.00 | B_Vel=2.49 | F_Vel=0.00 | Cont_A,M=0,0 | accel=764,616,-1004 |
2024-07-14 02:42:54 | | READY_FOR_LIFTOFF | Lat,Long=-31.98822,115.81029 | B_Alt=0.27 | B_Pres=1014.31 | B_Temp=21.81 | A_Vel=0.00 | B_Vel=2.61 | F_Vel=0.00 | Cont_A,M=0,0 | accel=757,618,-1006 |
2024-07-14 02:42:55 | | READY_FOR_LIFTOFF | Lat,Long=-31.98822,115.81029 | B_Alt=-0.23 | B_Pres=1014.29 | B_Temp=21.78 | A_Vel=0.00 | B_Vel=-1.19 | F_Vel=0.00 | Cont_A,M=0,0 | accel=763,611,-1002 |
2024-07-14 02:42:56 | | READY_FOR_LIFTOFF | Lat,Long=-31.98822,115.81029 | B_Alt=-0.07 | B_Pres=1014.30 | B_Temp=21.77 | A_Vel=0.00 | B_Vel=-1.75 | F_Vel=0.00 | Cont_A,M=0,0 | accel=757,619,-1000 |
2024-07-14 02:42:57 | | READY_FOR_LIFTOFF | Lat,Long=-31.98822,115.81029 | B_Alt=-0.22 | B_Pres=1014.35 | B_Temp=21.78 | A_Vel=0.00 | B_Vel=-2.76 | F_Vel=0.00 | Cont_A,M=0,0 | accel=768,617,-1005 |
2024-07-14 02:42:58 | | READY_FOR_LIFTOFF | Lat,Long=-31.98822,115.81029 | B_Alt=0.13 | B_Pres=1014.32 | B_Temp=21.77 | A_Vel=0.00 | B_Vel=0.21 | F_Vel=0.00 | Cont_A,M=0,0 | accel=763,616,-1004 |
